Name,Followers,Rank,tz,AK,PK,D1_AK_sign,D1_PK_sign,D9_AK_sign,D9_PK_sign,D1_distance,D9_distance,D1_kendra,D9_kendra,Either_kendra,paper_D1_dist,paper_D9_dist,paper_D1_kendra,paper_D9_kendra,paper_Either,D1_match,D9_match,Either_match
"Lambert, Miranda",2363638,558,America/Chicago,Mercury,Venus,6,5,2,11,12,10,0,1,1,12,10,0,1,1,True,True,True
"Shriver, Maria",2260774,598,America/Chicago,Saturn,Jupiter,6,4,2,1,11,12,0,0,0,11,12,0,0,0,True,True,True
"Trump, Donald",2272083,591,America/New_York,Sun,Venus,1,3,5,3,3,11,0,0,0,3,11,0,0,0,True,True,True
"Maher, Bill",2164504,632,America/New_York,Mercury,Saturn,9,7,2,5,11,4,0,1,1,11,4,0,1,1,True,True,True
"Owen, Michael",2150116,639,Europe/London,Sun,Mercury,7,7,11,5,1,7,1,1,1,1,7,1,1,1,True,True,True
"Rossi, Valentino",2066509,664,Europe/Rome,Mars,Jupiter,9,3,5,5,7,1,1,1,1,7,1,1,1,1,True,True,True
"Higuain, Gonzalo",2050556,673,Europe/Paris,Saturn,Moon,7,3,11,8,9,10,0,1,1,9,10,0,1,1,True,True,True
"Barrichello, Rubens",1992866,707,America/Sao_Paulo,Mercury,Jupiter,0,8,7,4,9,10,0,1,1,9,10,0,1,1,True,True,True
"Penn, Jillette",1955638,728,America/New_York,Saturn,Moon,6,3,2,8,10,7,1,1,1,10,7,1,1,1,True,True,True
"Spade, David",1888204,766,America/Detroit,Venus,Sun,1,3,5,5,3,1,0,1,1,3,1,0,1,1,True,True,True
"Gordon-Levitt, Joseph",1904098,758,America/Los_Angeles,Venus,Rahu,9,3,3,7,7,5,1,0,1,7,5,1,0,1,True,True,True
"Gaiman, Neil",1870399,769,Europe/London,Sun,Rahu,6,4,1,5,11,5,0,0,0,11,5,0,0,0,True,True,True
"Stephanopoulos, George",1864995,773,America/New_York,Sun,Mars,9,2,5,8,6,4,0,1,1,6,4,0,1,1,True,True,True
"Lopez, George",1834406,799,America/Los_Angeles,Venus,Saturn,11,9,9,10,11,2,0,0,0,11,2,0,0,0,True,True,True
"McCain, John",1812772,811,America/Panama,Saturn,Mercury,10,5,2,11,8,10,0,1,1,8,10,0,1,1,True,True,True
"Minogue, Kylie",1791937,822,Australia/Melbourne,Saturn,Venus,11,1,11,11,3,1,0,1,1,3,1,0,1,1,True,True,True
"Rivers, Joan",1783322,827,America/New_York,Mars,Venus,4,2,8,11,11,4,0,1,1,4,11,1,0,1,False,False,True
"Norton, Edward",1762549,840,America/New_York,Mercury,Moon,3,11,10,4,9,7,0,1,1,9,7,0,1,1,True,True,True
"Gregory, David",1620129,950,America/Los_Angeles,Saturn,Jupiter,0,6,8,8,7,1,1,1,1,7,1,1,1,1,True,True,True
Cher,1619028,953,America/Los_Angeles,Saturn,Sun,2,1,2,10,12,9,0,0,0,12,9,0,0,0,True,True,True
"Moore, Michael",1579561,984,America/Detroit,Mercury,Rahu,11,8,10,7,10,10,1,1,1,10,10,1,1,1,True,True,True
"Reznor, Trent",1578845,985,America/New_York,Saturn,Rahu,10,1,0,3,4,4,1,1,1,4,4,1,1,1,True,True,True
